rank,word,sentence,tags
21,al,Voy {{al}} parque.,frequency;generated;rank-021-040
22,como,Trabajo {{como}} maestro.,frequency;generated;rank-021-040
23,me,Ella {{me}} llama.,frequency;generated;rank-021-040
24,más,Quiero {{más}} agua.,frequency;generated;rank-021-040
25,si,Voy {{si}} puedo.,frequency;generated;rank-021-040
26,pero,"Quiero ir, {{pero}} no puedo.",frequency;generated;rank-021-040
27,te,Yo {{te}} veo.,frequency;generated;rank-021-040
28,o,Quiero té {{o}} café.,frequency;generated;rank-021-040
29,mi,Esta es {{mi}} casa.,frequency;generated;rank-021-040
30,le,Yo {{le}} doy agua.,frequency;generated;rank-021-040
31,este,Uso {{este}} lápiz.,frequency;generated;rank-021-040
32,sus,Veo {{sus}} libros.,frequency;generated;rank-021-040
33,esta,Vivo en {{esta}} ciudad.,frequency;generated;rank-021-040
34,todo,Leo {{todo}} el día.,frequency;generated;rank-021-040
35,ya,Ella {{ya}} llegó.,frequency;generated;rank-021-040
36,ha,Ella {{ha}} comido.,frequency;generated;rank-021-040
37,cuando,Llámame {{cuando}} llegues.,frequency;generated;rank-021-040
38,yo,Lo hago {{yo}}.,frequency;generated;rank-021-040
39,ser,Quiero {{ser}} médico.,frequency;generated;rank-021-040
40,son,Ellos {{son}} amigos.,frequency;generated;rank-021-040
